,Name,Rating,Reviews,Salaries,Interviews,Jobs,Benefits,Highly_Rated_for,Critically_Rated_for
0,TCS,3.3,1.2L,10.2L,11.4k,4.6k,10.8k,Job Security,"Promotions, Salary, Work Satisfaction"
1,Accenture,3.7,74.4k,7.1L,9.4k,30.3k,6.8k,"Promotions, Salary, Work Satisfaction",
2,Wipro,3.6,65.8k,4.9L,6.9k,329,4.8k,"Promotions, Salary, Work Satisfaction",
3,Cognizant,3.7,62.1k,6.1L,6.5k,775,5.6k,"Promotions, Salary, Work Satisfaction",
4,Capgemini,3.6,54.1k,4.9L,5.6k,2.3k,3.8k,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction"
5,HDFC Bank,3.8,53.2k,1.5L,3.1k,301,3.4k,"Job Security, Skill Development","Promotions, Salary"
6,Infosys,3.5,49.4k,5.3L,8.5k,2.7k,4.9k,Job Security,"Promotions, Salary, Work Satisfaction"
7,HCLTech,3.4,46.5k,3.9L,4.6k,292,3.9k,"Promotions, Salary, Work Satisfaction",
8,ICICI Bank,3.9,46.4k,1.5L,3k,8,3.8k,"Job Security, Promotions, Skill Development",
9,Tech Mahindra,3.3,43.8k,2.9L,4.6k,614,3.5k,"Promotions, Salary, Work Satisfaction",
10,Genpact,3.6,42.9k,2.4L,4k,572,3.6k,Job Security,"Promotions, Salary, Work Satisfaction"
11,TP,3.9,39.1k,99.7k,2.3k,1.6k,1.9k,"Work Life Balance, Job Security, Skill Development",
12,Jio,4.4,33.8k,62k,4.5k,--,2.6k,"Job Security, Skill Development, Company Culture",
13,Axis Bank,3.6,33.7k,1L,2k,259,2.2k,"Promotions, Work Satisfaction, Company Culture",
14,Concentrix Corporation,3.6,32.6k,1.3L,2k,17,3.2k,Job Security,"Promotions, Salary, Work Satisfaction"
15,Amazon,3.9,31.8k,1.6L,6k,74,3.7k,"Company Culture, Work Life Balance, Salary",Promotions
16,Reliance Retail,3.9,27.6k,74.1k,2k,97,1.9k,"Job Security, Skill Development, Work Life Balance",Promotions
17,iEnergizer,4.6,27.3k,24.9k,1.6k,87,572,"Salary, Company Culture, Work Life Balance",
18,LTIMindtree,3.6,26.8k,2L,3.5k,535,824,"Promotions, Salary, Work Satisfaction",
19,HDB Financial Services,3.9,26k,49.1k,1.1k,6,1.5k,Job Security,"Promotions, Salary"
20,IBM,3.9,26k,2.2L,2.6k,1.2k,2.6k,"Work Life Balance, Company Culture, Job Security",Promotions
21,Larsen & Toubro Limited,3.9,24.1k,76.8k,1.9k,310,2.6k,"Job Security, Skill Development, Salary","Promotions, Work Life Balance"
22,Deloitte,3.6,23.6k,2.7L,3.4k,319,2.5k,"Promotions, Work Life Balance, Work Satisfaction",
23,Kotak Mahindra Bank,3.6,22.8k,87.5k,1.4k,115,1.3k,"Promotions, Work Satisfaction, Company Culture",
24,Reliance Industries,4.0,20.4k,74.6k,1.6k,69,1.9k,"Job Security, Work Life Balance, Skill Development",Promotions
25,Vodafone Idea,3.9,17.7k,48.9k,702,91,2.1k,"Salary, Company Culture, Work Life Balance",Promotions
26,Bharti Airtel,3.8,17.2k,50.4k,1.1k,204,1.6k,Promotions,
27,BYJU'S,3.2,16.4k,50.7k,2.1k,1,1.7k,"Job Security, Company Culture, Work Life Balance",
28,WNS,3.3,15.4k,71.2k,1.3k,75,1.4k,"Promotions, Salary, Work Satisfaction",
29,IDFC FIRST Bank,3.9,14.9k,50.7k,1k,37,784,"Salary, Work Life Balance, Skill Development",
30,Ernst & Young,3.4,14.8k,1.5L,1.4k,4.3k,1.1k,"Promotions, Work Life Balance, Work Satisfaction",
31,IndusInd Bank,3.4,14.4k,52.7k,784,163,844,"Promotions, Company Culture, Work Satisfaction",
